epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,342.562,1.15118,0.96738,0.02141,0.63625,0.6558,0.66068,0.39129,1.55327,1.29309,0.04259,0.000370597,0.000370597,0.000370597
43,350.14,1.15353,0.96595,0.02135,0.71452,0.63546,0.67319,0.40038,1.55176,1.24959,0.04281,0.000364863,0.000364863,0.000364863
44,357.874,1.13576,0.93155,0.02077,0.69127,0.65423,0.68376,0.40722,1.5284,1.23708,0.042,0.000359051,0.000359051,0.000359051
45,365.51,1.12606,0.93924,0.02053,0.67423,0.66939,0.69801,0.41655,1.54689,1.21687,0.04274,0.000353167,0.000353167,0.000353167
46,373.262,1.13862,0.92007,0.02082,0.63587,0.65599,0.66093,0.38009,1.56488,1.30408,0.04405,0.000347214,0.000347214,0.000347214
47,380.842,1.14847,0.91471,0.02123,0.67588,0.63806,0.67236,0.39673,1.53282,1.25978,0.0425,0.000341196,0.000341196,0.000341196
48,388.437,1.11287,0.89277,0.02048,0.68255,0.65381,0.68566,0.40808,1.55901,1.31505,0.04305,0.000335117,0.000335117,0.000335117
49,395.835,1.12014,0.89414,0.02069,0.70353,0.62072,0.67746,0.4034,1.54928,1.2128,0.04251,0.000328982,0.000328982,0.000328982
50,403.416,1.09624,0.87976,0.02002,0.69274,0.64521,0.6844,0.41282,1.54069,1.2215,0.04232,0.000322794,0.000322794,0.000322794
51,411.081,1.07892,0.89322,0.0198,0.68056,0.66942,0.68092,0.40286,1.54694,1.25665,0.04263,0.000316558,0.000316558,0.000316558
52,418.665,1.10006,0.87714,0.02002,0.72236,0.65129,0.69911,0.42067,1.53404,1.2362,0.04243,0.000310278,0.000310278,0.000310278
53,426.417,1.08001,0.85677,0.01974,0.70619,0.66988,0.69066,0.41157,1.54884,1.32005,0.04331,0.000303958,0.000303958,0.000303958
54,433.809,1.07115,0.84988,0.01947,0.6917,0.65382,0.68761,0.4007,1.57748,1.27363,0.04354,0.000297603,0.000297603,0.000297603
55,441.525,1.07589,0.85874,0.0195,0.71472,0.65355,0.68797,0.41107,1.55451,1.25992,0.04287,0.000291218,0.000291218,0.000291218
56,449.129,1.06678,0.84296,0.0194,0.66921,0.68023,0.69037,0.41033,1.54343,1.25033,0.04228,0.000284805,0.000284805,0.000284805
57,456.937,1.0655,0.84818,0.01931,0.71542,0.6697,0.69698,0.41681,1.5449,1.25676,0.04242,0.000278371,0.000278371,0.000278371
58,464.519,1.04589,0.81034,0.01882,0.65722,0.69793,0.6932,0.41728,1.51957,1.22628,0.04167,0.000271919,0.000271919,0.000271919
59,472.252,1.04143,0.81575,0.01888,0.7021,0.68195,0.68162,0.40983,1.5375,1.26584,0.04231,0.000265453,0.000265453,0.000265453
60,479.8,1.03682,0.79382,0.01894,0.70189,0.68833,0.69533,0.412,1.54882,1.26452,0.04256,0.000258979,0.000258979,0.000258979
61,487.48,1.05122,0.78963,0.01907,0.68736,0.67504,0.68212,0.41309,1.52543,1.261,0.04185,0.0002525,0.0002525,0.0002525
62,495.157,1.04738,0.78999,0.01853,0.68143,0.69446,0.68635,0.41581,1.53151,1.28402,0.04165,0.000246021,0.000246021,0.000246021
63,502.969,1.01691,0.76517,0.01832,0.72126,0.6621,0.6842,0.41365,1.52821,1.30409,0.04185,0.000239547,0.000239547,0.000239547
64,510.602,1.01447,0.7708,0.01835,0.71196,0.66373,0.68804,0.41463,1.5312,1.28976,0.04181,0.000233081,0.000233081,0.000233081
65,518.281,1.00741,0.77422,0.01819,0.69262,0.67677,0.69351,0.41766,1.53692,1.29401,0.04251,0.000226629,0.000226629,0.000226629
66,525.869,1.01483,0.76943,0.01817,0.7296,0.65807,0.69229,0.41281,1.54945,1.29442,0.04265,0.000220195,0.000220195,0.000220195
67,533.542,0.99932,0.76922,0.01791,0.67386,0.66821,0.68167,0.40922,1.52948,1.30867,0.04185,0.000213782,0.000213782,0.000213782
68,541.11,0.99771,0.74992,0.0177,0.7268,0.67357,0.69157,0.40757,1.54621,1.29734,0.04291,0.000207397,0.000207397,0.000207397
69,548.819,1.00037,0.75051,0.01758,0.70485,0.66764,0.68447,0.40385,1.54634,1.29155,0.04242,0.000201042,0.000201042,0.000201042
70,556.352,0.99116,0.75413,0.01774,0.67481,0.69285,0.69578,0.41899,1.52722,1.30316,0.04162,0.000194722,0.000194722,0.000194722
71,564.056,0.99044,0.73882,0.01741,0.76641,0.62829,0.68905,0.41282,1.53322,1.30421,0.04203,0.000188442,0.000188442,0.000188442
72,571.667,0.98043,0.74188,0.0176,0.71062,0.6683,0.69258,0.41732,1.51586,1.32661,0.04142,0.000182206,0.000182206,0.000182206
73,579.275,0.97415,0.73132,0.0173,0.69248,0.68333,0.67994,0.40337,1.53136,1.35784,0.04215,0.000176018,0.000176018,0.000176018
74,587.067,0.97824,0.74376,0.0174,0.72653,0.68015,0.70821,0.42448,1.52777,1.3036,0.04166,0.000169883,0.000169883,0.000169883
75,594.681,0.97071,0.71089,0.01709,0.73662,0.67925,0.70563,0.42583,1.51958,1.29309,0.04154,0.000163804,0.000163804,0.000163804
76,602.29,0.95331,0.71226,0.01705,0.7046,0.67409,0.68401,0.41152,1.53664,1.39036,0.04213,0.000157786,0.000157786,0.000157786
77,609.803,0.94376,0.70297,0.01674,0.67935,0.69177,0.68688,0.41011,1.55594,1.34441,0.04268,0.000151833,0.000151833,0.000151833
78,617.701,0.94815,0.71823,0.0169,0.71549,0.67436,0.69509,0.41534,1.54082,1.29915,0.0423,0.000145949,0.000145949,0.000145949
79,625.385,0.9475,0.68529,0.01693,0.73474,0.67191,0.69244,0.41435,1.54529,1.32043,0.04263,0.000140137,0.000140137,0.000140137
80,633.089,0.93851,0.69032,0.01665,0.70342,0.68424,0.68985,0.42172,1.52452,1.3232,0.04166,0.000134403,0.000134403,0.000134403
81,640.676,0.9406,0.69397,0.01663,0.71641,0.67005,0.69827,0.42197,1.5296,1.34968,0.04188,0.00012875,0.00012875,0.00012875
82,648.342,0.93866,0.69038,0.01653,0.7517,0.65727,0.6979,0.41919,1.53164,1.35889,0.04217,0.000123182,0.000123182,0.000123182
83,656.026,0.92247,0.66146,0.01637,0.69112,0.68568,0.69403,0.41482,1.55112,1.37227,0.04255,0.000117702,0.000117702,0.000117702
84,663.707,0.92365,0.6746,0.01624,0.7392,0.66804,0.69534,0.42161,1.53354,1.36498,0.04222,0.000112314,0.000112314,0.000112314
85,671.302,0.92078,0.68321,0.01635,0.71087,0.69545,0.69632,0.41925,1.52992,1.3197,0.04178,0.000107023,0.000107023,0.000107023
86,678.978,0.90416,0.66034,0.01599,0.70567,0.69561,0.69436,0.41927,1.53707,1.32592,0.04215,0.000101832,0.000101832,0.000101832
87,686.732,0.90137,0.66759,0.01573,0.7335,0.68151,0.70507,0.42487,1.53694,1.33089,0.04207,9.67432e-05,9.67432e-05,9.67432e-05
88,694.332,0.91279,0.66205,0.01602,0.71227,0.68368,0.69912,0.41702,1.53155,1.34997,0.04206,9.17616e-05,9.17616e-05,9.17616e-05
