epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,503.896,1.10712,0.90418,0.02054,0.78806,0.75784,0.80747,0.5129,1.47415,1.0109,0.04071,0.000370597,0.000370597,0.000370597
43,518.075,1.08654,0.89289,0.02012,0.7705,0.77218,0.81853,0.51027,1.48935,1.03692,0.04064,0.000364863,0.000364863,0.000364863
44,531.77,1.09373,0.89259,0.02053,0.79038,0.75992,0.81561,0.51858,1.46722,1.02598,0.0403,0.000359051,0.000359051,0.000359051
45,541.903,1.09187,0.86212,0.02035,0.7815,0.738,0.78718,0.49802,1.4992,1.10959,0.0417,0.000353167,0.000353167,0.000353167
46,551.332,1.06563,0.85199,0.01975,0.7983,0.76171,0.82882,0.52062,1.47541,0.96256,0.04099,0.000347214,0.000347214,0.000347214
47,560.795,1.06646,0.85673,0.01966,0.77905,0.75318,0.80217,0.50695,1.50261,1.0762,0.04184,0.000341196,0.000341196,0.000341196
48,572.584,1.07848,0.84626,0.01998,0.81195,0.76081,0.81158,0.51892,1.46404,0.99453,0.04007,0.000335117,0.000335117,0.000335117
49,587.371,1.05013,0.83786,0.01941,0.77078,0.76593,0.79395,0.50401,1.48769,1.07358,0.04125,0.000328982,0.000328982,0.000328982
50,600.838,1.04535,0.82383,0.01925,0.80946,0.75938,0.81935,0.52354,1.47,0.9897,0.04039,0.000322794,0.000322794,0.000322794
51,610.464,1.03803,0.81329,0.01912,0.81699,0.75904,0.81131,0.5205,1.47564,1.02625,0.04048,0.000316558,0.000316558,0.000316558
52,619.955,1.04597,0.81075,0.01942,0.80177,0.77149,0.82723,0.53339,1.46669,0.96597,0.04011,0.000310278,0.000310278,0.000310278
53,629.461,1.02875,0.78952,0.01911,0.80473,0.77826,0.82163,0.52494,1.44839,0.99814,0.03979,0.000303958,0.000303958,0.000303958
54,641.724,1.02888,0.79172,0.01881,0.83836,0.76626,0.82021,0.52463,1.47394,0.97872,0.04047,0.000297603,0.000297603,0.000297603
55,656.5,1.02238,0.79993,0.01883,0.80088,0.74993,0.82016,0.52582,1.47895,1.04398,0.04072,0.000291218,0.000291218,0.000291218
56,669.152,1.01567,0.78499,0.01847,0.84499,0.76145,0.83367,0.54391,1.46442,0.96547,0.04059,0.000284805,0.000284805,0.000284805
57,678.688,1.01583,0.75473,0.0186,0.80527,0.77025,0.82129,0.52122,1.50051,1.07466,0.04178,0.000278371,0.000278371,0.000278371
58,688.288,1.00648,0.76301,0.01847,0.84521,0.75747,0.82699,0.53228,1.49737,1.01717,0.04146,0.000271919,0.000271919,0.000271919
59,697.718,1.00937,0.75247,0.01856,0.84899,0.75496,0.8229,0.53085,1.46993,1.00888,0.04073,0.000265453,0.000265453,0.000265453
60,710.603,1.0005,0.75877,0.01838,0.78606,0.7685,0.80827,0.52359,1.48284,1.04395,0.0411,0.000258979,0.000258979,0.000258979
61,724.902,1.00116,0.74336,0.01816,0.82892,0.74515,0.82082,0.52881,1.4664,1.01167,0.04046,0.0002525,0.0002525,0.0002525
62,737.524,1.00119,0.73997,0.01832,0.81066,0.76011,0.81308,0.53021,1.4672,1.04546,0.04076,0.000246021,0.000246021,0.000246021
63,747.423,0.98264,0.72739,0.01807,0.85773,0.7387,0.8291,0.53749,1.46916,1.00958,0.04052,0.000239547,0.000239547,0.000239547
64,756.933,0.96497,0.70966,0.01769,0.82803,0.78163,0.82559,0.53861,1.47711,1.00006,0.04087,0.000233081,0.000233081,0.000233081
65,766.687,0.97838,0.71605,0.01784,0.82135,0.74987,0.8082,0.52005,1.48199,1.1253,0.04099,0.000226629,0.000226629,0.000226629
66,779.651,0.96267,0.71454,0.01761,0.80789,0.75388,0.80492,0.52317,1.46798,1.06348,0.04063,0.000220195,0.000220195,0.000220195
67,794.348,0.96258,0.70584,0.01749,0.8248,0.75941,0.81794,0.53234,1.44312,1.04428,0.03983,0.000213782,0.000213782,0.000213782
68,806.889,0.9579,0.70082,0.0173,0.80154,0.78357,0.80536,0.52638,1.46957,1.06331,0.04065,0.000207397,0.000207397,0.000207397
69,816.327,0.94528,0.70058,0.0173,0.8191,0.78172,0.82509,0.53284,1.46629,0.99418,0.04069,0.000201042,0.000201042,0.000201042
70,825.926,0.94128,0.6816,0.01712,0.83716,0.75605,0.8167,0.53582,1.46016,1.02237,0.04031,0.000194722,0.000194722,0.000194722
71,835.358,0.94109,0.67981,0.01685,0.8492,0.76538,0.82201,0.5355,1.47643,1.03201,0.04085,0.000188442,0.000188442,0.000188442
72,849.331,0.93658,0.6849,0.01695,0.84081,0.75596,0.81275,0.52908,1.47673,1.03979,0.04075,0.000182206,0.000182206,0.000182206
73,864.267,0.9359,0.67716,0.01686,0.82746,0.75802,0.81075,0.52776,1.46129,1.06181,0.04018,0.000176018,0.000176018,0.000176018
74,875.904,0.92694,0.66712,0.01672,0.80874,0.75528,0.80249,0.52293,1.47216,1.06293,0.04057,0.000169883,0.000169883,0.000169883
75,885.384,0.92431,0.65534,0.01658,0.85338,0.74564,0.82225,0.53398,1.45768,1.00323,0.04016,0.000163804,0.000163804,0.000163804
76,894.929,0.9131,0.65906,0.01647,0.80113,0.79127,0.82044,0.53764,1.44107,1.03658,0.03952,0.000157786,0.000157786,0.000157786
77,904.967,0.90925,0.66298,0.01643,0.79773,0.78043,0.81318,0.53128,1.45229,1.09935,0.04004,0.000151833,0.000151833,0.000151833
78,919.334,0.91518,0.66421,0.01644,0.81743,0.77526,0.81503,0.53232,1.4457,1.05874,0.03975,0.000145949,0.000145949,0.000145949
79,933.426,0.90499,0.6529,0.01629,0.80777,0.77371,0.81708,0.53655,1.456,1.06111,0.03983,0.000140137,0.000140137,0.000140137
80,944.674,0.89362,0.63893,0.01602,0.83242,0.77974,0.82149,0.54107,1.4556,1.05441,0.04025,0.000134403,0.000134403,0.000134403
81,954.086,0.88761,0.64493,0.0159,0.82449,0.77937,0.8251,0.54114,1.44742,1.03588,0.03985,0.00012875,0.00012875,0.00012875
82,963.644,0.8929,0.6405,0.01602,0.83498,0.77558,0.82909,0.54312,1.44764,1.01837,0.03987,0.000123182,0.000123182,0.000123182
83,974.441,0.892,0.62046,0.01607,0.8327,0.77748,0.8267,0.54402,1.44663,0.99877,0.03964,0.000117702,0.000117702,0.000117702
84,988.209,0.88369,0.62786,0.01585,0.84247,0.75985,0.82394,0.53986,1.45225,1.06846,0.04005,0.000112314,0.000112314,0.000112314
85,1003,0.879,0.6302,0.01576,0.82456,0.7639,0.81265,0.53301,1.45516,1.10765,0.04019,0.000107023,0.000107023,0.000107023
86,1013.49,0.87781,0.62904,0.0157,0.82639,0.77424,0.8195,0.5364,1.45243,1.04405,0.04008,0.000101832,0.000101832,0.000101832
87,1023.2,0.88294,0.63558,0.01578,0.83524,0.78228,0.82607,0.54376,1.4458,1.04516,0.03992,9.67432e-05,9.67432e-05,9.67432e-05
88,1032.68,0.87027,0.61263,0.01559,0.82223,0.7843,0.82649,0.54291,1.45065,1.02635,0.03999,9.17616e-05,9.17616e-05,9.17616e-05
89,1044.13,0.86976,0.61669,0.01559,0.80365,0.7789,0.8161,0.53529,1.46117,1.06968,0.04025,8.68902e-05,8.68902e-05,8.68902e-05
90,1058.2,0.86519,0.63337,0.01545,0.84518,0.7664,0.82354,0.54223,1.45803,1.06026,0.04017,8.21322e-05,8.21322e-05,8.21322e-05
91,1072.67,0.854,0.60489,0.01525,0.83125,0.77187,0.82153,0.54047,1.46565,1.04236,0.04041,7.74911e-05,7.74911e-05,7.74911e-05
